session,plane,depth (um),pt_supervoxel_id,nwb_x,nwb_y,nwb_z,visual_area,layer,classification_system,cell_type
ses-4-scan-7,4,220,114498193517144320,361645.0,122086.0,18074.0,RL,L4,,
ses-4-scan-7,4,220,87689627137886928,166939.0,136510.0,26103.0,V1,L4,,
ses-4-scan-7,4,220,98244525574834160,243664.0,133376.0,19118.0,V1,L4,,
ses-4-scan-7,4,220,110487381526283104,332494.0,124051.0,20444.0,RL,L4,,
ses-4-scan-7,4,220,94585145457494368,216880.0,131856.0,24898.0,V1,L4,,
ses-4-scan-7,4,220,111120768942896784,337418.0,124226.0,20050.0,RL,L4,,
ses-4-scan-7,4,220,112738975315387840,348784.0,122528.0,21173.0,RL,L4,,
ses-4-scan-7,4,220,99229687926043856,250731.0,133402.0,18468.0,V1,L4,,
ses-4-scan-7,4,220,91700301958498976,196080.0,133952.0,26030.0,V1,L4,,
ses-4-scan-7,4,220,93318439544290592,207744.0,131534.0,26532.0,V1,L4,,
ses-4-scan-7,4,220,92263800594071248,199840.0,138272.0,17918.0,V1,L4,excitatory_neuron,23P
